Fecha,Hora,Edificio,InOctets (Mbps),OutOctets (Mbps),InErrors,OutErrors,Disponibilidad (%)
2026-04-29,10:00,"Edificio N (Planta alta: Dirección, Subdirección de planeación y vinculación, Subdirección de servicios administrativos, Recursos financieros. Planta baja: Servicios escolares, Recursos humanos, Planeación, programación y presupuestación)",26.69,10.99,0.09,0.07,99.81
2026-04-29,10:00,"Edificio M (Subdirección académica, Desarrollo académico, División de estudios profesionales, División de estudios de posgrado e investigación)",33.22,11.73,0.16,0.13,99.68
2026-04-29,10:00,Edificio T (Lab. de eléctrica-electrónica),48.28,20.00,0.67,0.54,98.66
2026-04-29,10:00,"Edificio D (Lab. de química pesada, Lab. de electrónica, Planta Piloto de Bioetanol 2G)",45.66,20.19,0.16,0.13,99.67
2026-04-29,11:00,Edificio A (UDIM),94.77,38.21,0.11,0.09,99.77
2026-04-29,11:00,Edificio L (Lab. de química general),140.99,56.72,10.12,8.09,85.00
2026-04-29,11:00,Edificio X (Lab. de Mecatrónica),162.72,64.48,14.97,11.98,85.00
2026-04-29,11:00,Edificio W (Lab. de industrial),112.90,45.89,1.85,1.48,96.30
2026-04-29,11:00,Edificio Q (Aulas Ciencias económico administrativas),127.15,51.87,0.89,0.71,98.21
2026-04-29,11:00,"Edificio O (Biblioteca, Centro de información, Gestión tecnológica y vinculación)",76.11,30.86,0.35,0.28,99.30
2026-04-29,11:00,"Edificio U (Sistemas y computación, Centro de cómputo)",112.27,45.16,0.32,0.25,99.37
2026-04-29,11:00,"Edificio N (Planta alta: Dirección, Subdirección de planeación y vinculación, Subdirección de servicios administrativos, Recursos financieros. Planta baja: Servicios escolares, Recursos humanos, Planeación, programación y presupuestación)",52.26,22.76,0.13,0.10,99.74
2026-04-29,11:00,"Edificio M (Subdirección académica, Desarrollo académico, División de estudios profesionales, División de estudios de posgrado e investigación)",57.76,23.66,0.18,0.14,99.64
2026-04-29,11:00,Edificio T (Lab. de eléctrica-electrónica),92.32,38.24,0.26,0.20,99.49
2026-04-29,11:00,"Edificio D (Lab. de química pesada, Lab. de electrónica, Planta Piloto de Bioetanol 2G)",93.87,36.29,0.45,0.36,99.11
2026-04-29,12:00,Edificio A (UDIM),90.44,34.70,0.07,0.05,99.87
2026-04-29,12:00,Edificio L (Lab. de química general),145.65,56.75,13.02,10.42,85.00
2026-04-29,12:00,Edificio X (Lab. de Mecatrónica),165.08,66.59,22.11,17.69,85.00
2026-04-29,12:00,Edificio W (Lab. de industrial),108.04,41.26,2.26,1.81,95.48
2026-04-29,12:00,Edificio Q (Aulas Ciencias económico administrativas),122.20,50.41,0.39,0.31,99.22
2026-04-29,12:00,"Edificio O (Biblioteca, Centro de información, Gestión tecnológica y vinculación)",76.48,28.84,0.18,0.14,99.64
2026-04-29,12:00,"Edificio U (Sistemas y computación, Centro de cómputo)",103.94,42.60,0.21,0.17,99.57
2026-04-29,12:00,"Edificio N (Planta alta: Dirección, Subdirección de planeación y vinculación, Subdirección de servicios administrativos, Recursos financieros. Planta baja: Servicios escolares, Recursos humanos, Planeación, programación y presupuestación)",54.17,20.56,0.07,0.06,99.85
2026-04-29,12:00,"Edificio M (Subdirección académica, Desarrollo académico, División de estudios profesionales, División de estudios de posgrado e investigación)",57.17,21.67,0.18,0.15,99.64
2026-04-29,12:00,Edificio T (Lab. de eléctrica-electrónica),88.71,33.92,0.45,0.36,99.10
2026-04-29,12:00,"Edificio D (Lab. de química pesada, Lab. de electrónica, Planta Piloto de Bioetanol 2G)",87.74,36.11,0.27,0.22,99.46
2026-04-29,13:00,Edificio A (UDIM),94.47,37.33,0.14,0.11,99.72
2026-04-29,13:00,Edificio L (Lab. de química general),142.15,57.95,5.69,4.55,88.63
2026-04-29,13:00,Edificio X (Lab. de Mecatrónica),161.03,66.34,6.43,5.15,87.14
2026-04-29,13:00,Edificio W (Lab. de industrial),104.53,39.83,1.88,1.51,96.24
2026-04-29,13:00,Edificio Q (Aulas Ciencias económico administrativas),126.81,49.62,0.28,0.23,99.43
2026-04-29,13:00,"Edificio O (Biblioteca, Centro de información, Gestión tecnológica y vinculación)",81.08,30.73,0.16,0.13,99.67
2026-04-29,13:00,"Edificio U (Sistemas y computación, Centro de cómputo)",106.68,40.85,0.28,0.22,99.44
2026-04-29,13:00,"Edificio N (Planta alta: Dirección, Subdirección de planeación y vinculación, Subdirección de servicios administrativos, Recursos financieros. Planta baja: Servicios escolares, Recursos humanos, Planeación, programación y presupuestación)",57.82,24.86,0.07,0.06,99.85
2026-04-29,13:00,"Edificio M (Subdirección académica, Desarrollo académico, División de estudios profesionales, División de estudios de posgrado e investigación)",57.71,24.24,0.20,0.16,99.61
2026-04-29,13:00,Edificio T (Lab. de eléctrica-electrónica),90.16,36.29,0.45,0.36,99.09
2026-04-29,13:00,"Edificio D (Lab. de química pesada, Lab. de electrónica, Planta Piloto de Bioetanol 2G)",90.75,34.75,0.21,0.16,99.59
2026-04-29,14:00,Edificio A (UDIM),86.98,35.86,0.18,0.14,99.64
2026-04-29,14:00,Edificio L (Lab. de química general),146.77,58.69,6.08,4.86,87.84
2026-04-29,14:00,Edificio X (Lab. de Mecatrónica),164.62,66.98,16.50,13.20,85.00
2026-04-29,14:00,Edificio W (Lab. de industrial),104.88,43.69,2.21,1.77,95.58
2026-04-29,14:00,Edificio Q (Aulas Ciencias económico administrativas),127.15,52.05,0.91,0.73,98.18
2026-04-29,14:00,"Edificio O (Biblioteca, Centro de información, Gestión tecnológica y vinculación)",76.82,28.74,0.33,0.26,99.34
2026-04-29,14:00,"Edificio U (Sistemas y computación, Centro de cómputo)",109.48,44.28,0.38,0.31,99.24
2026-04-29,14:00,"Edificio N (Planta alta: Dirección, Subdirección de planeación y vinculación, Subdirección de servicios administrativos, Recursos financieros. Planta baja: Servicios escolares, Recursos humanos, Planeación, programación y presupuestación)",53.62,19.96,0.16,0.13,99.67
2026-04-29,14:00,"Edificio M (Subdirección académica, Desarrollo académico, División de estudios profesionales, División de estudios de posgrado e investigación)",55.42,20.27,0.16,0.13,99.69
2026-04-29,14:00,Edificio T (Lab. de eléctrica-electrónica),90.27,35.01,0.42,0.33,99.17
2026-04-29,14:00,"Edificio D (Lab. de química pesada, Lab. de electrónica, Planta Piloto de Bioetanol 2G)",91.76,35.01,0.50,0.40,99.00
2026-04-29,15:00,Edificio A (UDIM),89.22,34.14,0.18,0.15,99.63
2026-04-29,15:00,Edificio L (Lab. de química general),148.11,58.83,2.58,2.07,94.84
2026-04-29,15:00,Edificio X (Lab. de Mecatrónica),160.27,66.10,5.47,4.37,89.07
2026-04-29,15:00,Edificio W (Lab. de industrial),110.99,44.14,1.45,1.16,97.11
2026-04-29,15:00,Edificio Q (Aulas Ciencias económico administrativas),124.62,48.08,0.27,0.22,99.46
2026-04-29,15:00,"Edificio O (Biblioteca, Centro de información, Gestión tecnológica y vinculación)",83.82,32.72,0.22,0.17,99.56
2026-04-29,15:00,"Edificio U (Sistemas y computación, Centro de cómputo)",108.13,43.56,0.22,0.18,99.56
2026-04-29,15:00,"Edificio N (Planta alta: Dirección, Subdirección de planeación y vinculación, Subdirección de servicios administrativos, Recursos financieros. Planta baja: Servicios escolares, Recursos humanos, Planeación, programación y presupuestación)",49.44,21.35,0.16,0.12,99.69
2026-04-29,15:00,"Edificio M (Subdirección académica, Desarrollo académico, División de estudios profesionales, División de estudios de posgrado e investigación)",53.81,20.95,0.12,0.09,99.77
2026-04-29,15:00,Edificio T (Lab. de eléctrica-electrónica),86.62,33.73,0.75,0.60,98.51
2026-04-29,15:00,"Edificio D (Lab. de química pesada, Lab. de electrónica, Planta Piloto de Bioetanol 2G)",86.50,36.59,0.59,0.47,98.82
2026-04-29,16:00,Edificio A (UDIM),49.34,20.65,0.16,0.13,99.68
2026-04-29,16:00,Edificio L (Lab. de química general),75.66,30.87,2.62,2.09,94.76
2026-04-29,16:00,Edificio X (Lab. de Mecatrónica),90.10,35.84,4.39,3.51,91.21
2026-04-29,16:00,Edificio W (Lab. de industrial),60.29,23.21,0.91,0.72,98.19
2026-04-29,16:00,Edificio Q (Aulas Ciencias económico administrativas),74.73,30.30,0.70,0.56,98.59
2026-04-29,16:00,"Edificio O (Biblioteca, Centro de información, Gestión tecnológica y vinculación)",48.93,20.51,0.27,0.21,99.46
2026-04-29,16:00,"Edificio U (Sistemas y computación, Centro de cómputo)",63.40,26.73,0.12,0.10,99.76
2026-04-29,16:00,"Edificio N (Planta alta: Dirección, Subdirección de planeación y vinculación, Subdirección de servicios administrativos, Recursos financieros. Planta baja: Servicios escolares, Recursos humanos, Planeación, programación y presupuestación)",29.02,11.20,0.07,0.05,99.86
2026-04-29,16:00,"Edificio M (Subdirección académica, Desarrollo académico, División de estudios profesionales, División de estudios de posgrado e investigación)",25.32,10.22,0.18,0.14,99.64
2026-04-29,16:00,Edificio T (Lab. de eléctrica-electrónica),49.99,21.38,0.70,0.56,98.59
2026-04-29,16:00,"Edificio D (Lab. de química pesada, Lab. de electrónica, Planta Piloto de Bioetanol 2G)",45.61,19.85,0.53,0.42,98.94
2026-04-29,17:00,Edificio A (UDIM),46.78,18.55,0.13,0.10,99.74
2026-04-29,17:00,Edificio L (Lab. de química general),79.19,32.76,2.84,2.27,94.32
2026-04-29,17:00,Edificio X (Lab. de Mecatrónica),90.12,37.30,2.21,1.77,95.57
2026-04-29,17:00,Edificio W (Lab. de industrial),63.07,25.70,2.47,1.97,95.06
2026-04-29,17:00,Edificio Q (Aulas Ciencias económico administrativas),74.78,28.23,0.97,0.77,98.07
2026-04-29,17:00,"Edificio O (Biblioteca, Centro de información, Gestión tecnológica y vinculación)",43.93,17.97,0.12,0.09,99.76
2026-04-29,17:00,"Edificio U (Sistemas y computación, Centro de cómputo)",62.94,26.33,0.20,0.16,99.60
2026-04-29,17:00,"Edificio N (Planta alta: Dirección, Subdirección de planeación y vinculación, Subdirección de servicios administrativos, Recursos financieros. Planta baja: Servicios escolares, Recursos humanos, Planeación, programación y presupuestación)",31.42,12.36,0.10,0.08,99.79
2026-04-29,17:00,"Edificio M (Subdirección académica, Desarrollo académico, División de estudios profesionales, División de estudios de posgrado e investigación)",32.87,11.72,0.11,0.09,99.78
2026-04-29,17:00,Edificio T (Lab. de eléctrica-electrónica),54.52,23.03,0.38,0.30,99.24
2026-04-29,17:00,"Edificio D (Lab. de química pesada, Lab. de electrónica, Planta Piloto de Bioetanol 2G)",47.15,19.62,0.44,0.35,99.13
2026-04-29,18:00,Edificio A (UDIM),49.87,20.32,0.07,0.05,99.87
2026-04-29,18:00,Edificio L (Lab. de química general),79.18,33.10,4.56,3.65,90.88
2026-04-29,18:00,Edificio X (Lab. de Mecatrónica),90.17,36.67,3.22,2.58,93.56
2026-04-29,18:00,Edificio W (Lab. de industrial),58.76,23.67,1.03,0.82,97.95
2026-04-29,18:00,Edificio Q (Aulas Ciencias económico administrativas),67.60,25.19,0.28,0.22,99.45
2026-04-29,18:00,"Edificio O (Biblioteca, Centro de información, Gestión tecnológica y vinculación)",41.26,14.89,0.38,0.30,99.24
2026-04-29,18:00,"Edificio U (Sistemas y computación, Centro de cómputo)",55.20,22.17,0.18,0.14,99.64
2026-04-29,18:00,"Edificio N (Planta alta: Dirección, Subdirección de planeación y vinculación, Subdirección de servicios administrativos, Recursos financieros. Planta baja: Servicios escolares, Recursos humanos, Planeación, programación y presupuestación)",28.20,12.55,0.14,0.11,99.72
2026-04-29,18:00,"Edificio M (Subdirección académica, Desarrollo académico, División de estudios profesionales, División de estudios de posgrado e investigación)",27.72,11.38,0.08,0.07,99.83
2026-04-29,18:00,Edificio T (Lab. de eléctrica-electrónica),46.44,18.40,0.95,0.76,98.10
2026-04-29,18:00,"Edificio D (Lab. de química pesada, Lab. de electrónica, Planta Piloto de Bioetanol 2G)",49.35,21.54,0.32,0.26,99.36
